J. A. FENNELLY and D. G. TORR Photon Cross Sections for O, N2, O2, and N
TABLE 1. Photoionization and Photoabsorption Cross Sections for O, N2, O2, and N
See page 331 for Explanation of Tables
Wavelength(Angstrom) | O->       | N2->              | O2->              | N-> |
|    | 4S  2D  2P  4pe  2pe  ION | ABS  N2+  N+  ION | ABS  O2+  O+  ION | ION |
|    |                                x10-18 cm2                               |

720.40 4.10 4.86 0.00 0.00 0.00 8.96 24.97 13.48 0.00 13.48 34.20 27.90 0.00 27.90 12.09
720.90 3.95 4.96 0.00 0.00 0.00 8.91 24.10 12.83 0.00 12.83 30.09 24.78 0.00 24.78 12.08
721.30 3.85 5.09 0.00 0.00 0.00 8.94 26.80 21.17 0.00 21.17 26.80 22.24 0.00 22.24 12.07
721.40 3.83 5.12 0.00 0.00 0.00 8.94 27.48 24.00 0.00 24.00 26.94 22.47 0.00 22.47 12.06
721.80 3.73 5.24 0.00 0.00 0.00 8.97 30.19 18.53 0.00 18.53 27.50 23.38 0.00 23.38 12.06
722.00 3.68 5.30 0.00 0.00 0.00 8.99 31.54 15.80 0.00 15.80 27.05 22.65 0.00 22.65 12.05
722.50 3.56 5.46 0.00 0.00 0.00 9.02 34.92 25.70 0.00 25.70 25.92 20.90 0.00 20.90 12.04
722.90 3.41 5.49 0.00 0.00 0.00 8.90 37.62 33.62 0.00 33.62 26.00 13.50 0.00 19.50 12.03
723.40 3.61 5.14 0.00 0.00 0.00 8.75 69.30 34.60 0.00 34.60 25.30 21.25 0.00 21.25 12.01
723.90 3.68 4.92 0.00 0.00 0.00 8.60 59.51 33.35 0.00 33.35 26.68 22.41 0.00 22.41 12.00
724.20 9.72 16.39 0.00 0.00 0.00 26.10 53.63 31.00 0.00 31.00 27.50 23.10 0.00 23.10 11.99
724.80 12.23 49.27 0.00 0.00 0.00 61.50 41.88 24.70 0.00 24.70 25.85 21.91 0.00 21.91 11.98
724.90 9.23 45.07 0.00 0.00 0.00 54.30 39.92 23.65 0.00 23.65 25.57 21.71 0.00 21.71 11.98
725.50 6.59 27.31 0.00 0.00 0.00 33.90 30.60 19.15 0.00 19.15 33.80 28.97 0.00 28.97 11.96
725.70 5.48 21.62 0.00 0.00 0.00 27.10 30.06 17.77 0.00 17.77 37.20 31.99 0.00 31.99 11.96
726.00 5.16 18.90 0.00 0.00 0.00 24.07 29.24 15.70 0.00 15.70 42.30 36.56 0.00 36.56 11.95
726.40 4.62 15.40 0.00 0.00 0.00 20.02 28.16 16.10 0.00 16.10 49.10 42.72 0.00 42.72 11.94
727.00 3.56 10.40 0.00 0.00 0.00 13.96 26.53 16.70 0.00 16.70 36.43 31.70 0.00 31.70 11.93
727.30 2.92 8.00 0.00 0.00 0.00 10.92 25.71 13.82 0.00 13.82 30.10 26.19 0.00 26.19 11.92
727.50 2.45 6.45 0.00 0.00 0.00 8.90 25.17 11.90 0.00 11.90 30.18 26.40 0.00 26.40 11.91
728.00 2.66 6.33 0.00 0.00 0.00 8.99 24.17 7.10 0.00 7.10 30.38 26.93 0.00 26.93 11.90
728.30 2.78 6.26 0.00 0.00 0.00 9.04 23.63 6.86 0.00 6.86 30.50 27.25 0.00 27.25 11.89
728.70 2.95 6.16 0.00 0.00 0.00 9.12 22.90 6.54 0.00 6.54 29.01 26.20 0.00 26.20 11.88
729.00 3.08 6.09 0.00 0.00 0.00 9.17 22.94 6.30 0.00 6.30 27.90 25.39 0.00 25.39 11.88
729.40 3.16 5.82 0.00 0.00 0.00 8.98 23.00 10.54 0.00 10.54 29.80 25.03 0.00 25.03 11.86
729.80 3.24 5.55 0.00 0.00 0.00 8.78 23.05 14.78 0.00 14.78 29.00 26.10 0.00 26.10 11.86
730.00 3.27 5.42 0.00 0.00 0.00 8.69 23.08 16.90 0.00 16.90 29.97 26.81 0.00 26.81 11.85
730.60 3.37 5.03 0.00 0.00 0.00 8.40 23.16 14.02 0.00 14.02 32.88 28.87 0.00 28.87 11.84
730.90 3.44 4.89 0.00 0.00 0.00 8.33 23.20 12.58 0.00 12.58 34.33 29.87 0.00 29.87 11.83
731.50 3.58 4.61 0.00 0.00 0.00 8.19 22.68 9.04 0.00 9.04 33.19 29.37 0.00 29.37 11.81
731.80 3.65 4.47 0.00 0.00 0.00 8.12 22.42 11.48 0.00 11.48 31.60 28.20 0.00 28.20 11.81
732.00 8.08 0.00 0.00 0.00 0.00 8.08 22.24 13.10 0.00 13.10 37.23 33.41 0.00 33.41 11.80
732.20 8.03 0.00 0.00 0.00 0.00 8.03 22.07 12.24 0.00 12.24 42.86 38.68 0.00 38.68 11.80
732.50 6.97 0.00 0.00 0.00 0.00 6.97 21.81 10.95 0.00 10.95 51.30 46.68 0.00 46.68 11.79
733.00 5.21 0.00 0.00 0.00 0.00 5.21 21.37 8.80 0.00 8.80 39.67 36.35 0.00 36.35 11.78
733.30 4.15 0.00 0.00 0.00 0.00 4.15 21.11 9.22 0.00 9.22 32.70 30.08 0.00 30.08 11.77
734.00 8.62 0.00 0.00 0.00 0.00 8.62 20.50 10.20 0.00 10.20 33.61 30.22 0.00 30.22 11.75
734.50 11.81 0.00 0.00 0.00 0.00 11.81 30.50 15.10 0.00 15.10 34.26 30.29 0.00 30.29 11.74
735.00 15.00 0.00 0.00 0.00 0.00 15.00 25.00 11.30 0.00 11.30 34.91 30.34 0.00 30.34 11.73
735.30 15.34 0.00 0.00 0.00 0.00 15.34 23.65 10.55 0.00 10.55 35.30 30.36 0.00 30.36 11.72
735.90 16.01 0.00 0.00 0.00 0.00 16.01 20.95 9.05 0.00 9.05 34.38 31.98 0.00 31.98 11.70
736.50 16.69 0.00 0.00 0.00 0.00 16.69 31.80 14.80 0.00 14.80 33.47 30.82 0.00 30.82 11.69
737.00 10.40 0.00 0.00 0.00 0.00 10.40 26.40 9.20 0.00 9.20 32.71 29.86 0.00 29.86 11.68
737.20 12.30 0.00 0.00 0.00 0.00 12.30 24.04 11.96 0.00 11.96 32.40 29.48 0.00 29.48 11.67
737.50 15.15 0.00 0.00 0.00 0.00 15.15 20.50 16.10 0.00 16.10 34.20 30.10 0.00 30.10 11.66
738.00 12.50 0.00 0.00 0.00 0.00 12.50 18.20 23.70 0.00 23.70 31.62 27.73 0.00 27.73 11.65
738.40 8.90 0.00 0.00 0.00 0.00 8.90 21.84 18.18 0.00 18.18 29.55 25.86 0.00 25.86 11.64
739.00 14.37 0.00 0.00 0.00 0.00 14.37 27.30 9.90 0.00 9.90 26.45 23.06 0.00 23.06 11.63
739.20 16.20 0.00 0.00 0.00 0.00 16.20 26.56 9.92 0.00 9.92 25.42 22.13 0.00 22.13 11.62
740.00 9.08 0.00 0.00 0.00 0.00 9.08 23.60 10.00 0.00 10.00 25.70 19.53 0.00 19.53 11.60
740.20 7.30 0.00 0.00 0.00 0.00 7.30 22.34 9.50 0.00 9.50 24.77 19.98 0.00 19.98 11.60
741.00 18.41 0.00 0.00 0.00 0.00 18.41 17.30 7.50 0.00 7.50 21.03 17.29 0.00 17.29 11.59
741.20 18.91 0.00 0.00 0.00 0.00 18.91 17.48 8.02 0.00 8.02 20.10 16.48 0.00 16.48 11.59
742.00 11.77 0.00 0.00 0.00 0.00 11.77 18.20 10.10 0.00 10.10 21.30 17.13 0.00 17.13 11.58
742.20 9.98 0.00 0.00 0.00 0.00 9.98 17.20 9.24 0.00 9.24 21.60 17.28 0.00 17.28 11.58
742.40 8.20 0.00 0.00 0.00 0.00 8.20 16.20 8.38 0.00 8.38 20.86 16.65 0.00 16.65 11.58
743.00 6.33 0.00 0.00 0.00 0.00 6.33 13.20 5.80 0.00 5.80 18.64 14.76 0.00 14.76 11.57
743.20 5.71 0.00 0.00 0.00 0.00 5.71 17.92 8.72 0.00 8.72 17.90 14.14 0.00 14.14 11.57
743.50 10.08 0.00 0.00 0.00 0.00 10.08 25.00 13.10 0.00 13.10 18.33 15.58 0.00 15.58 11.57
743.70 14.75 0.00 0.00 0.00 0.00 14.75 27.72 11.42 0.00 11.42 18.62 16.57 0.00 16.57 11.56
744.00 21.76 0.00 0.00 0.00 0.00 21.76 31.80 8.90 0.00 8.90 19.06 16.30 0.00 16.30 11.56
744.50 17.10 0.00 0.00 0.00 0.00 17.10 46.40 17.60 0.00 17.60 19.78 15.78 0.00 15.78 11.56
744.90 10.10 0.00 0.00 0.00 0.00 10.10 34.72 12.56 0.00 12.56 20.36 15.30 0.00 15.30 11.55
746.00 5.42 0.00 0.00 0.00 0.00 5.42 15.90 6.30 0.00 6.30 19.14 12.83 0.00 12.83 11.54
746.40 4.85 0.00 0.00 0.00 0.00 4.85 18.62 6.14 0.00 6.14 18.60 11.72 0.00 11.72 11.54
746.70 4.70 0.00 0.00 0.00 0.00 4.70 20.66 6.02 0.00 6.02 19.90 12.91 0.00 12.91 11.53
747.00 5.49 0.00 0.00 0.00 0.00 5.49 22.70 5.90 0.00 5.90 21.20 14.15 0.00 14.15 11.53
747.50 6.80 0.00 0.00 0.00 0.00 6.80 51.12 21.90 0.00 21.90 18.40 12.86 0.00 12.86 11.53
748.00 20.10 0.00 0.00 0.00 0.00 20.10 38.60 11.30 0.00 11.30 15.60 11.39 0.00 11.39 11.52
748.50 33.40 0.00 0.00 0.00 0.00 33.40 28.60 8.85 0.00 8.85 17.65 12.74 0.00 12.74 11.52
749.00 20.33 0.00 0.00 0.00 0.00 20.33 18.60 6.40 0.00 6.40 19.70 14.05 0.00 14.05 11.51
749.20 15.10 0.00 0.00 0.00 0.00 15.10 21.52 7.12 0.00 7.12 20.52 14.57 0.00 14.57 11.51
750.00 9.82 0.00 0.00 0.00 0.00 9.82 33.20 10.00 0.00 10.00 23.80 16.58 0.00 16.58 11.50
750.70 5.20 0.00 0.00 0.00 0.00 5.20 25.85 5.87 0.00 5.87 19.39 13.28 0.00 13.28 11.49
751.00 5.00 0.00 0.00 0.00 0.00 5.00 22.70 4.10 0.00 4.10 17.50 11.90 0.00 11.90 11.49
751.60 4.61 0.00 0.00 0.00 0.00 4.61 20.00 4.76 0.00 4.76 19.00 12.74 0.00 12.74 11.48
752.00 4.35 0.00 0.00 0.00 0.00 4.35 18.20 5.20 0.00 5.20 17.74 11.78 0.00 11.78 11.48
752.30 4.15 0.00 0.00 0.00 0.00 4.15 16.82 4.99 0.00 4.99 16.79 11.07 0.00 11.07 11.48
752.90 4.36 0.00 0.00 0.00 0.00 4.36 14.06 4.57 0.00 4.57 14.90 9.68 0.00 9.68 11.47
754.00 4.76 0.00 0.00 0.00 0.00 4.76 27.30 13.80 0.00 13.80 19.35 12.27 0.00 12.27 11.46
754.40 4.90 0.00 0.00 0.00 0.00 4.90 61.94 46.12 0.00 46.12 20.97 13.18 0.00 13.18 11.46
755.00 22.34 0.00 0.00 0.00 0.00 22.34 30.00 28.50 0.00 28.50 23.40 14.51 0.00 14.51 11.45
755.20 28.16 0.00 0.00 0.00 0.00 28.16 44.00 24.74 0.00 24.74 22.52 13.60 0.00 13.60 11.45
755.50 36.88 0.00 0.00 0.00 0.00 36.88 25.00 19.10 0.00 19.10 21.20 12.30 0.00 12.30 11.44
755.80 45.60 0.00 0.00 0.00 0.00 45.60 22.00 16.22 0.00 16.22 19.88 11.05 0.00 11.05 11.44
756.00 40.19 0.00 0.00 0.00 0.00 40.19 20.00 14.30 0.00 14.30 19.00 10.26 0.00 10.26 11.44
756.20 34.77 0.00 0.00 0.00 0.00 34.77 17.00 12.22 0.00 12.22 19.30 10.48 0.00 10.48 11.44
756.50 26.65 0.00 0.00 0.00 0.00 26.65 12.50 9.10 0.00 9.10 19.00 10.40 0.00 10.40 11.43
757.00 13.11 0.00 0.00 0.00 0.00 13.11 50.00 24.20 0.00 24.20 18.50 10.27 0.00 10.27 11.43
757.20 7.70 0.00 0.00 0.00 0.00 7.70 69.20 20.24 0.00 20.24 18.30 10.21 0.00 10.21 11.43
757.50 9.57 0.00 0.00 0.00 0.00 9.57 42.68 14.30 0.00 14.30 18.00 10.13 0.00 10.13 11.43
757.70 10.83 0.00 0.00 0.00 0.00 10.83 25.00 12.70 0.00 12.70 17.80 10.07 0.00 10.07 11.42
758.00 12.70 0.00 0.00 0.00 0.00 12.70 16.80 10.30 0.00 10.30 17.50 9.97 0.00 9.97 11.42
758.30 11.38 0.00 0.00 0.00 0.00 11.38 66.70 37.60 0.00 37.60 18.85 10.74 0.00 10.74 11.42
758.40 10.94 0.00 0.00 0.00 0.00 10.94 62.85 32.20 0.00 32.20 19.30 11.00 0.00 11.00 11.42
758.68 9.71 0.00 0.00 0.00 0.00 9.71 27.86 19.15 0.00 19.15 18.68 10.65 0.00 10.65 11.41
759.00 8.30 0.00 0.00 0.00 0.00 8.30 19.04 14.50 0.00 14.50 17.98 10.33 0.00 10.33 11.41
759.40 6.54 0.00 0.00 0.00 0.00 6.54 11.90 10.20 0.00 10.20 17.10 9.92 0.00 9.92 11.41
760.00 3.90 0.00 0.00 0.00 0.00 3.90 23.82 12.30 0.00 12.30 18.99 9.73 0.00 9.73 11.40
760.20 4.05 0.00 0.00 0.00 0.00 4.05 27.80 15.80 0.00 15.80 19.62 9.62 0.00 9.62 11.40
760.40 4.06 0.00 0.00 0.00 0.00 4.06 27.80 13.27 0.00 13.27 20.25 9.92 0.00 9.92 11.39
760.70 4.05 0.00 0.00 0.00 0.00 4.05 36.90 17.00 0.00 17.00 21.20 12.51 0.00 12.51 11.39
761.00 4.05 0.00 0.00 0.00 0.00 4.05 46.00 24.50 0.00 24.50 20.49 10.86 0.00 10.86 11.38
761.50 4.04 0.00 0.00 0.00 0.00 4.04 48.00 18.80 0.00 18.80 19.30 9.76 0.00 9.76 11.38
762.00 4.04 0.00 0.00 0.00 0.00 4.04 36.40 11.70 0.00 11.70 19.63 9.82 0.00 9.82 11.37
762.20 4.04 0.00 0.00 0.00 0.00 4.04 25.00 10.46 0.00 10.46 19.60 10.19 0.00 10.19 11.37
762.50 4.03 0.00 0.00 0.00 0.00 4.03 17.30 8.60 0.00 8.60 19.30 10.61 0.00 10.61 11.36
763.00 4.03 0.00 0.00 0.00 0.00 4.03 16.00 10.60 0.00 10.60 21.16 11.18 0.00 11.18 11.35
763.20 4.02 0.00 0.00 0.00 0.00 4.02 25.00 18.73 0.00 18.73 21.90 11.39 0.00 11.39 11.35
763.50 4.02 0.00 0.00 0.00 0.00 4.02 25.00 21.40 0.00 21.40 20.96 12.23 0.00 12.23 11.35
763.70 4.02 0.00 0.00 0.00 0.00 4.02 68.10 38.30 0.00 38.30 20.33 11.94 0.00 11.94 11.34
764.00 4.01 0.00 0.00 0.00 0.00 4.01 18.20 22.20 0.00 22.20 19.39 11.49 0.00 11.49 11.34
764.40 4.01 0.00 0.00 0.00 0.00 4.01 13.30 9.20 0.00 9.20 18.13 10.88 0.00 10.88 11.33
764.70 4.00 0.00 0.00 0.00 0.00 4.00 18.00 11.40 0.00 11.40 18.10 9.05 0.00 9.05 11.33
765.00 4.00 0.00 0.00 0.00 0.00 4.00 150.00 106.90 0.00 106.90 19.90 10.55 0.00 10.55 11.32
765.30 3.99 0.00 0.00 0.00 0.00 3.99 91.00 52.90 0.00 52.90 21.70 13.74 0.00 13.74 11.32
765.40 3.99 0.00 0.00 0.00 0.00 3.99 70.59 44.30 0.00 44.30 22.30 15.16 0.00 15.16 11.32
765.70 3.99 0.00 0.00 0.00 0.00 3.99 31.80 27.02 0.00 27.02 21.54 14.40 0.00 14.40 11.31
766.00 3.98 0.00 0.00 0.00 0.00 3.98 14.50 14.00 0.00 14.00 20.78 13.65 0.00 13.65 11.31
766.50 3.97 0.00 0.00 0.00 0.00 3.97 13.95 11.40 0.00 11.40 19.51 12.44 0.00 12.44 11.30
766.70 3.97 0.00 0.00 0.00 0.00 3.97 13.74 10.72 0.00 10.72 19.00 11.97 0.00 11.97 11.30
767.00 3.96 0.00 0.00 0.00 0.00 3.96 13.41 9.70 0.00 9.70 19.55 12.26 0.00 12.26 11.30
767.30 3.95 0.00 0.00 0.00 0.00 3.95 13.30 10.06 0.00 10.06 20.10 12.55 0.00 12.55 11.29
767.50 3.95 0.00 0.00 0.00 0.00 3.95 13.30 10.30 0.00 10.30 19.55 12.17 0.00 12.17 11.29
767.70 3.95 0.00 0.00 0.00 0.00 3.95 13.30 10.86 0.00 10.86 19.01 11.79 0.00 11.79 11.28
767.90 3.94 0.00 0.00 0.00 0.00 3.94 40.90 11.42 0.00 11.42 18.46 11.42 0.00 11.42 11.28
768.30 3.93 0.00 0.00 0.00 0.00 3.93 22.30 14.58 0.00 14.58 17.37 10.68 0.00 10.68 11.28
768.40 3.93 0.00 0.00 0.00 0.00 3.93 27.30 15.54 0.00 15.54 17.10 10.50 0.00 10.50 11.27
768.70 3.93 0.00 0.00 0.00 0.00 3.93 42.30 28.50 0.00 28.50 19.88 12.14 0.00 12.14 11.27
769.00 3.92 0.00 0.00 0.00 0.00 3.92 25.00 16.00 0.00 16.00 19.35 11.61 0.00 11.61 11.27
769.20 3.92 0.00 0.00 0.00 0.00 3.92 32.70 14.72 0.00 14.72 17.90 10.56 0.00 10.56 11.26
769.50 3.91 0.00 0.00 0.00 0.00 3.91 42.30 12.80 0.00 12.80 20.38 11.72 0.00 11.72 11.26
770.00 3.90 0.00 0.00 0.00 0.00 3.90 26.85 9.40 0.00 9.40 17.20 8.89 0.00 8.89 11.25
770.20 3.90 0.00 0.00 0.00 0.00 3.90 20.67 8.96 0.00 8.96 15.20 7.45 0.00 7.45 11.25
770.40 3.89 0.00 0.00 0.00 0.00 3.89 14.49 8.52 0.00 8.52 18.73 8.43 0.00 8.43 11.24
770.80 3.88 0.00 0.00 0.00 0.00 3.88 19.56 10.16 0.00 10.16 19.70 10.44 0.00 10.44 11.24
771.00 3.88 0.00 0.00 0.00 0.00 3.88 25.00 11.40 0.00 11.40 20.83 9.48 0.00 9.48 11.23
771.50 3.87 0.00 0.00 0.00 0.00 3.87 141.80 51.30 0.00 51.30 23.64 6.32 0.00 6.32 11.23
772.00 3.86 0.00 0.00 0.00 0.00 3.86 50.00 26.00 0.00 26.00 24.00 12.24 0.00 12.24 11.22
772.40 3.85 0.00 0.00 0.00 0.00 3.85 30.00 14.80 0.00 14.80 23.80 18.80 0.00 18.80 11.21
773.00 3.84 0.00 0.00 0.00 0.00 3.84 21.50 10.30 0.00 10.30 26.37 16.76 0.00 16.76 11.20
773.50 3.83 0.00 0.00 0.00 0.00 3.83 18.00 8.30 0.00 8.30 24.20 14.90 0.00 14.90 11.20
774.00 3.82 0.00 0.00 0.00 0.00 3.82 14.50 8.00 0.00 8.00 20.95 13.05 0.00 13.05 11.19
774.50 3.81 0.00 0.00 0.00 0.00 3.81 33.10 13.20 0.00 13.20 17.70 11.15 0.00 11.15 11.18
775.00 3.80 0.00 0.00 0.00 0.00 3.80 40.90 12.50 0.00 12.50 14.45 7.90 0.00 7.90 11.18
775.50 3.79 0.00 0.00 0.00 0.00 3.79 31.40 48.20 0.00 48.20 15.87 8.92 0.00 8.92 11.17
775.70 3.79 0.00 0.00 0.00 0.00 3.79 143.81 126.90 0.00 126.90 16.90 9.77 0.00 9.77 11.16
776.00 3.78 0.00 0.00 0.00 0.00 3.78 125.00 63.30 0.00 63.30 18.45 11.11 0.00 11.11 11.16
776.50 3.77 0.00 0.00 0.00 0.00 3.77 59.10 20.30 0.00 20.30 21.03 13.50 0.00 13.50 11.15
777.00 3.76 0.00 0.00 0.00 0.00 3.76 24.50 14.05 0.00 14.05 23.62 16.11 0.00 16.11 11.15
777.50 3.75 0.00 0.00 0.00 0.00 3.75 20.20 7.80 0.00 7.80 26.20 18.92 0.00 18.92 11.14
778.00 3.74 0.00 0.00 0.00 0.00 3.74 15.90 7.20 0.00 7.20 28.78 21.93 0.00 21.93 11.13
778.50 3.73 0.00 0.00 0.00 0.00 3.73 38.61 9.50 0.00 9.50 26.56 14.68 0.00 14.68 11.12
778.70 3.73 0.00 0.00 0.00 0.00 3.73 47.70 9.14 0.00 9.14 25.19 11.19 0.00 11.19 11.12
779.00 3.72 0.00 0.00 0.00 0.00 3.72 40.54 8.60 0.00 8.60 25.07 8.27 0.00 8.27 11.12
779.50 3.71 0.00 0.00 0.00 0.00 3.71 28.60 8.10 0.00 8.10 26.48 8.74 0.00 8.74 11.11
779.80 3.70 0.00 0.00 0.00 0.00 3.70 14.90 7.70 0.00 7.70 27.33 9.02 0.00 9.02 11.10
779.90 3.70 0.00 0.00 0.00 0.00 3.70 14.70 7.35 0.00 7.35 27.62 9.11 0.00 9.11 11.10
780.30 3.70 0.00 0.00 0.00 0.00 3.70 25.15 8.50 0.00 8.50 25.22 11.10 0.00 11.10 11.10
780.50 3.70 0.00 0.00 0.00 0.00 3.70 32.25 9.50 0.00 9.50 23.43 10.15 0.00 10.15 11.09
781.00 3.70 0.00 0.00 0.00 0.00 3.70 50.00 41.70 0.00 41.70 18.97 7.90 0.00 7.90 11.09
781.20 3.70 0.00 0.00 0.00 0.00 3.70 118.20 70.70 0.00 70.70 17.18 7.04 0.00 7.04 11.08
781.50 3.70 0.00 0.00 0.00 0.00 3.70 75.00 32.30 0.00 32.30 14.50 5.80 0.00 5.80 11.08
782.00 3.70 0.00 0.00 0.00 0.00 3.70 34.00 13.40 0.00 13.40 16.75 6.94 0.00 6.94 11.07
782.50 3.70 0.00 0.00 0.00 0.00 3.70 15.00 6.70 0.00 6.70 19.000 8.14 0.00 8.14 11.06
782.90 3.70 0.00 0.00 0.00 0.00 3.70 17.56 7.58 0.00 7.58 20.80 9.15 0.00 9.15 11.06
783.20 3.70 0.00 0.00 0.00 0.00 3.70 70.92 29.96 0.00 29.96 20.50 3.82 0.00 8.82 11.05
783.50 3.70 0.00 0.00 0.00 0.00 3.70 150.00 63.20 0.00 63.20 21.80 9.81 0.00 9.81 11.05
783.80 3.70 0.00 0.00 0.00 0.00 3.70 234.10 125.30 0.00 125.30 23.10 10.86 0.00 10.86 11.04
784.00 3.70 0.00 0.00 0.00 0.00 3.70 224.36 48.40 0.00 48.40 23.97 11.58 0.00 11.58 11.04
784.40 3.70 0.00 0.00 0.00 0.00 3.70 204.87 18.80 0.00 18.80 25.70 13.11 0.00 13.11 11.03
784.80 3.70 0.00 0.00 0.00 0.00 3.70 155.00 8.40 0.00 8.40 23.80 16.18 0.00 16.18 11.03
785.00 3.70 0.00 0.00 0.00 0.00 3.70 125.00 6.40 0.00 6.40 24.30 16.20 0.00 16.20 11.03
785.50 3.71 0.00 0.00 0.00 0.00 3.71 50.00 9.70 0.00 9.70 25.55 16.18 0.00 16.18 11.02
786.00 3.71 0.00 0.00 0.00 0.00 3.71 45.50 22.80 0.00 22.80 26.80 16.08 0.00 16.08 11.01
786.20 3.72 0.00 0.00 0.00 0.00 3.72 56.80 18.04 0.00 18.04 23.25 11.63 0.00 11.63 11.01
786.40 3.72 0.00 0.00 0.00 0.00 3.72 35.60 13.28 0.00 13.28 19.70 7.88 0.00 7.88 11.00
787.00 3.72 0.00 0.00 0.00 0.00 3.72 10.50 7.80 0.00 7.80 22.70 9.31 0.00 9.31 10.99
787.50 3.73 0.00 0.00 0.00 0.00 3.73 8.48 7.30 0.00 7.30 25.20 10.54 0.00 10.54 10.99
787.70 3.73 0.00 0.00 0.00 0.00 3.73 7.67 6.94 0.00 6.94 25.32 10.76 0.00 10.76 10.98
788.00 3.74 0.00 0.00 0.00 0.00 3.74 9.04 6.40 0.00 6.40 24.20 10.65 0.00 10.65 10.98
788.50 3.74 0.00 0.00 0.00 0.00 3.74 11.32 5.80 0.00 5.80 26.95 12.98 0.00 12.98 10.97
789.00 3.75 0.00 0.00 0.00 0.00 3.75 13.60 7.20 0.00 7.20 26.80 11.52 0.00 11.52 10.97
789.50 3.76 0.00 0.00 0.00 0.00 3.76 45.50 11.30 0.00 11.30 27.55 10.88 0.00 10.88 10.96
790.00 3.76 0.00 0.00 0.00 0.00 3.76 25.58 11.00 0.00 11.00 28.30 10.19 0.00 10.19 10.95
790.50 3.77 0.00 0.00 0.00 0.00 3.77 18.60 9.60 0.00 9.60 25.57 9.01 0.00 9.01 10.94
790.80 3.77 0.00 0.00 0.00 0.00 3.77 125.00 101.90 0.00 101.90 23.93 8.32 0.00 8.32 10.94
791.00 3.77 0.00 0.00 0.00 0.00 3.77 58.10 41.00 0.00 41.00 22.84 7.87 0.00 7.87 10.94
791.30 3.78 0.00 0.00 0.00 0.00 3.78 53.24 37.94 0.00 37.94 21.20 7.21 0.00 7.21 10.93
791.40 3.78 0.00 0.00 0.00 0.00 3.78 51.62 36.92 0.00 36.92 21.81 7.24 0.00 7.24 10.93
791.80 4.23 0.00 0.00 0.00 0.00 4.23 125.00 44.90 0.00 44.90 24.25 7.25 0.00 7.25 10.92
792.40 3.78 0.00 0.00 0.00 0.00 3.78 71.80 38.90 0.00 38.90 27.90 6.97 0.00 6.97 10.91
792.80 4.86 0.00 0.00 0.00 0.00 4.86 43.60 21.62 0.00 21.62 24.20 8.47 0.00 8.47 10.91
792.92 19.97 0.00 0.00 0.00 0.00 19.97 35.14 15.91 0.00 15.91 25.09 9.15 0.00 9.15 10.91
793.14 2.70 0.00 0.00 0.00 0.00 2.70 25.69 10.56 0.00 10.56 26.71 10.47 0.00 10.47 10.90
793.50 2.74 0.00 0.00 0.00 0.00 2.74 15.90 6.60 0.00 6.60 29.37 12.81 0.00 12.81 10.90
794.00 2.80 0.00 0.00 0.00 0.00 2.80 25.00 6.20 0.00 6.20 33.06 16.45 0.00 16.45 10.89
794.50 2.86 0.00 0.00 0.00 0.00 2.86 39.75 6.30 0.00 6.30 29.04 14.28 0.00 14.28 10.88
795.00 2.92 0.00 0.00 0.00 0.00 2.92 54.50 12.30 0.00 12.30 23.10 10.84 0.00 10.84 10.88
795.20 2.94 0.00 0.00 0.00 0.00 2.94 46.22 5.92 0.00 5.92 23.40 10.76 0.00 10.76 10.87
796.00 3.03 0.00 0.00 0.00 0.00 3.03 13.10 4.50 0.00 4.50 21.90 9.44 0.00 9.44 10.86
797.00 3.15 0.00 0.00 0.00 0.00 3.15 8.00 1.00 0.00 1.00 27.61 10.91 0.00 10.91 10.85
797.70 3.23 0.00 0.00 0.00 0.00 3.23 8.00 0.30 0.00 0.30 31.60 11.69 0.00 11.69 10.83
798.00 3.26 0.00 0.00 0.00 0.00 3.26 8.00 0.00 0.00 0.00 28.00 9.94 0.00 9.94 10.83
799.00 3.38 0.00 0.00 0.00 0.00 3.38 8.00 0.00 0.00 0.00 35.16 10.72 0.00 10.72 10.82
799.50 3.44 0.00 0.00 0.00 0.00 3.44 8.00 0.00 0.00 0.00 39.80 11.14 0.00 11.14 10.81
800.00 3.50 0.00 0.00 0.00 0.00 3.50 8.00 0.00 0.00 0.00 36.80 12.23 0.00 12.23 10.80
800.50 3.55 0.00 0.00 0.00 0.00 3.55 16.70 0.00 0.00 0.00 33.80 13.00 0.00 13.00 10.80
801.00 3.61 0.00 0.00 0.00 0.00 3.61 40.00 0.00 0.00 0.00 30.80 13.46 0.00 13.46 10.79
801.50 3.67 0.00 0.00 0.00 0.00 3.67 104.00 0.00 0.00 0.00 27.80 13.61 0.00 13.61 10.78
802.00 3.73 0.00 0.00 0.00 0.00 3.73 40.00 0.00 0.00 0.00 30.00 12.96 0.00 12.96 10.78
802.60 3.80 0.00 0.00 0.00 0.00 3.80 16.60 0.00 0.00 0.00 34.20 11.29 0.00 11.29 10.77
803.00 3.84 0.00 0.00 0.00 0.00 3.84 1.00 0.00 0.00 0.00 30.56 9.00 0.00 9.00 10.77
803.50 3.90 0.00 0.00 0.00 0.00 3.90 3.85 0.00 0.00 0.00 26.00 6.50 0.00 6.50 10.77
804.00 3.96 0.00 0.00 0.00 0.00 3.96 6.70 0.00 0.00 0.00 33.22 9.55 0.00 9.55 10.76
